experiment_set_ctx_length,name,run_tag,model_type,num_params,num_tokens_training,num_flops_training,val/.dclm_loss,token_param_ratio,width_depth_ratio,Preset Token Param Ratio,experiment_set,context_length,learning_rate,global_batch_size,num_train_steps,val/.dclm_perplexity,Preset Num Params,Model Size,embedding_dim,num_blocks,num_heads,proj_factor_ffn,ffn_multiple_of,ffn_dim,head_dim_qk,head_dim_v,IsoFLOP,train/.loss_mean,run_id,model_checkpoint_paths
tokenparam_ctx8192,dclm_mLSTMv1_160M_ctx8192_lr0.003_steps3500_nh6_gbs128,scl_mlstm_160Mv2,mlstm_v1,164110224.0,3670016000.0,2.809832926150656e+18,3.278110362507386,22.36311614564611,64.0,22,tokenparam,8192,0.003,128.0,3500.0,26.525601540965525,,160M,768,12,6,2.667,64,2112,64.0,128,,3.280884430124334,i5dhe6am,"[""/nfs-gpu/xlstm/outputs_beck/sclaw/dclm_mLSTMv1_160M_ctx8192_lr0.003_steps3500_nh6_2025-02-11T17:42:34/0/wandb""]"
tokenparam_ctx8192,dclm_mLSTMv1_160M_ctx8192_lr0.003_steps5000_nh6_gbs128,scl_mlstm_160Mv2,mlstm_v1,164110224.0,5242880000.0,4.01404703735808e+18,3.2102737541221664,31.947308779494445,64.0,extra,tokenparam,8192,0.003,128.0,5000.0,24.785870530158633,,160M,768,12,6,2.667,64,2112,64.0,128,,3.2076875312801953,5q50n1xs,"[""/nfs-gpu/xlstm/outputs_beck/sclaw/dclm_mLSTMv1_160M_ctx8192_lr0.003_steps5000_nh6_2025-01-18T09:17:10/3/wandb""]"
tokenparam_ctx8192,dclm_mLSTMv1_160M_ctx8192_lr0.003_steps7000_nh6_gbs128,scl_mlstm_160Mv2,mlstm_v1,164110224.0,7340032000.0,5.619665852301312e+18,3.1541237014870225,44.72623229129222,64.0,44,tokenparam,8192,0.003,128.0,7000.0,23.432494232056126,,160M,768,12,6,2.667,64,2112,64.0,128,,3.1532559833972273,9fda092j,"[""/nfs-gpu/xlstm/outputs_beck/sclaw/dclm_mLSTMv1_160M_ctx8192_lr0.003_steps7000_nh6_2025-02-11T15:52:54/1/wandb""]"
tokenparam_ctx8192,dclm_mLSTMv1_160M_ctx8192_lr0.003_steps8000_nh6_gbs128,scl_mlstm_160Mv2,mlstm_v1,164110224.0,8388608000.0,6.422475259772928e+18,3.1375079384862015,51.11569404719111,64.0,extra,tokenparam,8192,0.003,128.0,8000.0,23.046362283533377,,160M,768,12,6,2.667,64,2112,64.0,128,,3.136242322186817,cy3br36c,"[""/nfs-gpu/xlstm/outputs_beck/sclaw/dclm_mLSTMv1_160M_ctx8192_lr0.003_steps8000_nh6_2025-01-18T09:17:10/2/wandb""]"
tokenparam_ctx8192,dclm_mLSTMv1_160M_ctx8192_lr0.003_steps18000_nh6_gbs128,scl_mlstm_160Mv2,mlstm_v1,164110224.0,18874368000.0,1.4450569334489088e+19,3.0566959489287817,115.01031160618,64.0,110,tokenparam,8192,0.003,128.0,18000.0,21.257206109674595,,160M,768,12,6,2.667,64,2112,64.0,128,,3.056779156387037,hs5khr4o,"[""/nfs-gpu/xlstm/outputs_beck/sclaw/dclm_mLSTMv1_160M_ctx8192_lr0.003_steps18000_nh6_2025-01-18T09:17:10/1/wandb""]"
tokenparam_ctx8192,dclm_mLSTMv1_160M_ctx8192_lr0.003_steps36000_nh6_gbs128,scl_mlstm_160Mv2,mlstm_v1,164110224.0,37748736000.0,2.8901138668978176e+19,3.011088257360189,230.02062321236,64.0,220,tokenparam,8192,0.003,128.0,36000.0,20.30948985511296,,160M,768,12,6,2.667,64,2112,64.0,128,,3.0106920301059077,uju2tyxb,"[""/nfs-gpu/xlstm/outputs_beck/sclaw/dclm_mLSTMv1_160M_ctx8192_lr0.003_steps36000_nh6_2025-01-18T09:17:10/0/wandb""]"
tokenparam_ctx8192,dclm_mLSTMv1_160M_ctx8192_lr0.003_steps87000_nh6_gbs128,scl_mlstm_160Mv2,mlstm_v1,164110224.0,91226112000.0,6.984441845003059e+19,2.9735369771297897,555.8831727632033,64.0,550,tokenparam,8192,0.003,128.0,87000.0,19.560984137709212,,160M,768,12,6,2.667,64,2112,64.0,128,,2.9733398660476626,vufn7vk6,"[""/nfs-gpu/xlstm/outputs_beck/sclaw/dclm_mLSTMv1_160M_ctx8192_lr0.003_steps87000_nh6_2025-02-12T11:25:46/0/wandb""]"
tokenparam_ctx8192,dclm_mLSTMv1_160M_ctx8192_lr0.003_steps173000_nh6_gbs128,scl_mlstm_160Mv2,mlstm_v1,164110224.0,181403648000.0,1.3888602749258957e+20,2.9556999120938414,1105.376883770508,64.0,1100,tokenparam,8192,0.003,128.0,173000.0,19.215166942125414,,160M,768,12,6,2.667,64,2112,64.0,128,,2.9564085600096623,5c16ap2i,"[""/nfs-gpu/xlstm/outputs_beck/sclaw/dclm_mLSTMv1_160M_ctx8192_lr0.003_steps173000_nh6_2025-01-18T09:15:55/1/wandb""]"
tokenparam_ctx8192,dclm_mLSTMv1_160M_ctx8192_lr0.003_steps345000_nh6_gbs128,scl_mlstm_160Mv2,mlstm_v1,164110224.0,361758720000.0,2.7696924557770752e+20,2.9410484262024865,2204.364305785117,64.0,2200,tokenparam,8192,0.003,128.0,345000.0,18.935688580930666,,160M,768,12,6,2.667,64,2112,64.0,128,,2.9425100714688632,y5s6gd5v,"[""/nfs-gpu/xlstm/outputs_beck/sclaw/dclm_mLSTMv1_160M_ctx8192_lr0.003_steps345000_nh6_2025-01-18T09:15:55/0/wandb""]"
tokenparam_ctx8192,dclm_mLSTMv1_400M_ctx8192_lr0.003_steps10000_gbs128,scl_mlstm_400M,mlstm_v1,406856896.0,10485760000.0,2.29104177905664e+19,2.8957374019019237,25.77259990697073,42.666666666666664,22,tokenparam,8192,0.003,128.0,10000.0,18.09684116737921,,400M,1024,24,4,2.667,64,2752,128.0,256,,2.89987456718397,xx828oas,"[""/nfs-gpu/xlstm/outputs_beck/sclaw/dclm_mLSTMv1_400M_ctx8192_lr0.003_steps10000_2024-12-20T05:24:44/0/wandb""]"
